#    L    TT             EE             BB             TE          
   331    0.29520E+04    0.14419E+02    0.28474E-01    0.10861E+03
   332    0.29218E+04    0.14594E+02    0.28573E-01    0.10781E+03
   333    0.28917E+04    0.14768E+02    0.28671E-01    0.10697E+03
   334    0.28620E+04    0.14941E+02    0.28768E-01    0.10610E+03
   335    0.28324E+04    0.15112E+02    0.28865E-01    0.10519E+03
   336    0.28031E+04    0.15283E+02    0.28961E-01    0.10425E+03
   337    0.27741E+04    0.15452E+02    0.29057E-01    0.10327E+03
   338    0.27453E+04    0.15619E+02    0.29153E-01    0.10226E+03
   339    0.27169E+04    0.15787E+02    0.29247E-01    0.10122E+03
   340    0.26887E+04    0.15952E+02    0.29342E-01    0.10016E+03
   341    0.26607E+04    0.16115E+02    0.29436E-01    0.99055E+02
   342    0.26331E+04    0.16278E+02    0.29529E-01    0.97920E+02
   343    0.26057E+04    0.16438E+02    0.29622E-01    0.96757E+02
   344    0.25788E+04    0.16597E+02    0.29715E-01    0.95564E+02
   345    0.25520E+04    0.16753E+02    0.29807E-01    0.94342E+02
   346    0.25256E+04    0.16909E+02    0.29899E-01    0.93099E+02
   347    0.24995E+04    0.17062E+02    0.29990E-01    0.91819E+02
   348    0.24738E+04    0.17212E+02    0.30081E-01    0.90510E+02
   349    0.24484E+04    0.17361E+02    0.30172E-01    0.89172E+02
   350    0.24233E+04    0.17508E+02    0.30262E-01    0.87812E+02
   351    0.23987E+04    0.17653E+02    0.30352E-01    0.86423E+02
   352    0.23743E+04    0.17795E+02    0.30442E-01    0.85006E+02
   353    0.23503E+04    0.17935E+02    0.30532E-01    0.83573E+02
   354    0.23266E+04    0.18073E+02    0.30621E-01    0.82105E+02
   355    0.23033E+04    0.18208E+02    0.30710E-01    0.80614E+02
   356    0.22804E+04    0.18341E+02    0.30799E-01    0.79110E+02
   357    0.22579E+04    0.18472E+02    0.30888E-01    0.77576E+02
   358    0.22358E+04    0.18599E+02    0.30976E-01    0.76028E+02
   359    0.22139E+04    0.18723E+02    0.31064E-01    0.74450E+02
   360    0.21926E+04    0.18846E+02    0.31153E-01    0.72855E+02
   361    0.21715E+04    0.18965E+02    0.31241E-01    0.71237E+02
   362    0.21510E+04    0.19082E+02    0.31329E-01    0.69599E+02
   363    0.21307E+04    0.19196E+02    0.31417E-01    0.67944E+02
   364    0.21110E+04    0.19306E+02    0.31505E-01    0.66268E+02
   365    0.20915E+04    0.19414E+02    0.31592E-01    0.64577E+02
   366    0.20725E+04    0.19519E+02    0.31680E-01    0.62867E+02
   367    0.20540E+04    0.19620E+02    0.31768E-01    0.61142E+02
   368    0.20357E+04    0.19719E+02    0.31856E-01    0.59402E+02
   369    0.20181E+04    0.19814E+02    0.31944E-01    0.57646E+02
   370    0.20008E+04    0.19906E+02    0.32032E-01    0.55877E+02
   371    0.19838E+04    0.19995E+02    0.32120E-01    0.54094E+02
   372    0.19673E+04    0.20080E+02    0.32208E-01    0.52300E+02
   373    0.19512E+04    0.20162E+02    0.32297E-01    0.50492E+02
   374    0.19356E+04    0.20241E+02    0.32385E-01    0.48673E+02
   375    0.19203E+04    0.20317E+02    0.32474E-01    0.46845E+02
   376    0.19056E+04    0.20389E+02    0.32563E-01    0.45007E+02
   377    0.18912E+04    0.20458E+02    0.32652E-01    0.43161E+02
   378    0.18773E+04    0.20522E+02    0.32741E-01    0.41305E+02
   379    0.18637E+04    0.20584E+02    0.32831E-01    0.39443E+02
   380    0.18507E+04    0.20643E+02    0.32921E-01    0.37573E+02
   381    0.18381E+04    0.20695E+02    0.33011E-01    0.35698E+02
   382    0.18258E+04    0.20746E+02    0.33101E-01    0.33819E+02
   383    0.18140E+04    0.20793E+02    0.33192E-01    0.31934E+02
   384    0.18027E+04    0.20835E+02    0.33283E-01    0.30046E+02
   385    0.17917E+04    0.20875E+02    0.33374E-01    0.28156E+02
   386    0.17813E+04    0.20911E+02    0.33466E-01    0.26263E+02
   387    0.17712E+04    0.20943E+02    0.33557E-01    0.24369E+02
   388    0.17615E+04    0.20971E+02    0.33650E-01    0.22475E+02
   389    0.17523E+04    0.20993E+02    0.33742E-01    0.20581E+02
   390    0.17435E+04    0.21014E+02    0.33836E-01    0.18689E+02
   391    0.17351E+04    0.21031E+02    0.33929E-01    0.16798E+02
   392    0.17271E+04    0.21045E+02    0.34023E-01    0.14910E+02
   393    0.17196E+04    0.21055E+02    0.34117E-01    0.13025E+02
