#    L    TT             EE             BB             TE             PP             TP             EP          
   208    0.55389E+04    0.65821E+00    0.00000E+00   -0.34080E+01    0.49448E-07   -0.60228E-06    0.96807E-09
   209    0.55461E+04    0.66584E+00    0.00000E+00   -0.20168E+01    0.49198E-07   -0.65044E-06    0.10455E-08
   210    0.55526E+04    0.67461E+00    0.00000E+00   -0.60860E+00    0.48950E-07   -0.69317E-06    0.11142E-08
   211    0.55586E+04    0.68454E+00    0.00000E+00    0.81647E+00    0.48704E-07   -0.73065E-06    0.11744E-08
   212    0.55639E+04    0.69567E+00    0.00000E+00    0.22575E+01    0.48460E-07   -0.76306E-06    0.12265E-08
   213    0.55686E+04    0.70803E+00    0.00000E+00    0.37146E+01    0.48218E-07   -0.79057E-06    0.12707E-08
   214    0.55727E+04    0.72163E+00    0.00000E+00    0.51864E+01    0.47978E-07   -0.81337E-06    0.13074E-08
   215    0.55762E+04    0.73665E+00    0.00000E+00    0.66724E+01    0.47740E-07   -0.83163E-06    0.13367E-08
   216    0.55790E+04    0.75290E+00    0.00000E+00    0.81730E+01    0.47504E-07   -0.84553E-06    0.13591E-08
   217    0.55813E+04    0.77055E+00    0.00000E+00    0.96862E+01    0.47270E-07   -0.85525E-06    0.13747E-08
   218    0.55829E+04    0.78959E+00    0.00000E+00    0.11212E+02    0.47038E-07   -0.86098E-06    0.13839E-08
   219    0.55840E+04    0.81002E+00    0.00000E+00    0.12752E+02    0.46808E-07   -0.86288E-06    0.13869E-08
   220    0.55844E+04    0.83198E+00    0.00000E+00    0.14301E+02    0.46579E-07   -0.86114E-06    0.13841E-08
   221    0.55843E+04    0.85541E+00    0.00000E+00    0.15862E+02    0.46352E-07   -0.85593E-06    0.13758E-08
   222    0.55836E+04    0.88044E+00    0.00000E+00    0.17434E+02    0.46128E-07   -0.84744E-06    0.13621E-08
   223    0.55822E+04    0.90701E+00    0.00000E+00    0.19016E+02    0.45905E-07   -0.83584E-06    0.13435E-08
   224    0.55803E+04    0.93512E+00    0.00000E+00    0.20605E+02    0.45684E-07   -0.82132E-06    0.13201E-08
   225    0.55777E+04    0.96490E+00    0.00000E+00    0.22204E+02    0.45464E-07   -0.80404E-06    0.12924E-08
   226    0.55746E+04    0.99637E+00    0.00000E+00    0.23810E+02    0.45247E-07   -0.78419E-06    0.12605E-08
   227    0.55707E+04    0.10295E+01    0.00000E+00    0.25424E+02    0.45031E-07   -0.76195E-06    0.12247E-08
   228    0.55664E+04    0.10643E+01    0.00000E+00    0.27044E+02    0.44816E-07   -0.73750E-06    0.11854E-08
   229    0.55615E+04    0.11009E+01    0.00000E+00    0.28670E+02    0.44604E-07   -0.71100E-06    0.11428E-08
